  115.8410 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.368 45 0.000  -87    0F1 -1z0     665 1206     0
  115.8410 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.669 45 0.000  -87    0F1 -2z0     665 1206     0
  115.8410 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.544 45 0.000  -63    0F2 -1z0     665 1206     0
  115.8410 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.185 45 0.000  -63    0F2 -2z0     665 1206     0
  115.8410 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.251 45 0.000  -63    0F2 -3z0     665 1206     0
  115.8411 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.690 45 0.000  -29    0F3 -2z0     665 1206     0
  115.8411 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.126 45 0.000  -29    0F3 -3z0     665 1206     0
  115.8411 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-0.980 45 0.000  -29    0F3 -4z0     665 1206     0
  115.8411 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.924 45 0.000   15    0F4 -3z0     665 1206     0
  115.8411 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.159 45 0.000   15    0F4 -4z0     665 1206     0
  115.8411 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-0.773 45 0.000   15    0F4 -5z0     665 1206     0
  115.8412 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-2.342 45 0.000   68    0F5 -4z0     665 1206     0
  115.8412 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.342 45 0.000   68    0F5 -5z0     665 1206     0
  115.8412 -1.980 21.01    4802.870  2.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-0.602 45 0.000   68    0F5 -6z0     665 1206     0
  115.8997 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.447 45 0.000  -51    0F0 -1z0    1083 1341     0
  115.8997 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.368 45 0.000  -46    0F1 -1z0    1083 1341     0
  115.8997 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.544 45 0.000  -46    0F1 -2z0    1083 1341     0
  115.8997 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.669 45 0.000  -36    0F2 -1z0    1083 1341     0
  115.8997 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.185 45 0.000  -36    0F2 -2z0    1083 1341     0
  115.8997 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.690 45 0.000  -36    0F2 -3z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.251 45 0.000  -23    0F3 -2z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.126 45 0.000  -23    0F3 -3z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.924 45 0.000  -23    0F3 -4z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-0.980 45 0.000   -6    0F4 -3z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.159 45 0.000   -6    0F4 -4z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-2.342 45 0.000   -6    0F4 -5z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-0.773 45 0.000   15    0F5 -4z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-1.342 45 0.000   15    0F5 -5z0    1083 1341     0
  115.8998 -2.148 21.01    4883.570  3.0 3d2 3F       91165.000  2.0 3d6f 3P     8.30 -2.83 -7.28K88  0 0 45-0.602 45 0.000   40    0F6 -5z0    1083 1341     0
  115.9009 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.447 45 0.000  -87    0F1 -0z0     665 1013     0
  115.9009 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.368 45 0.000  -87    0F1 -1z0     665 1013     0
  115.9009 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.669 45 0.000  -87    0F1 -2z0     665 1013     0
  115.9009 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.544 45 0.000  -63    0F2 -1z0     665 1013     0
  115.9009 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.185 45 0.000  -63    0F2 -2z0     665 1013     0
  115.9009 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.251 45 0.000  -63    0F2 -3z0     665 1013     0
  115.9010 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.690 45 0.000  -29    0F3 -2z0     665 1013     0
  115.9010 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.126 45 0.000  -29    0F3 -3z0     665 1013     0
  115.9010 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-0.980 45 0.000  -29    0F3 -4z0     665 1013     0
  115.9010 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.924 45 0.000   15    0F4 -3z0     665 1013     0
  115.9010 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.159 45 0.000   15    0F4 -4z0     665 1013     0
  115.9010 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-0.773 45 0.000   15    0F4 -5z0     665 1013     0
  115.9011 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-2.342 45 0.000   68    0F5 -4z0     665 1013     0
  115.9011 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-1.342 45 0.000   68    0F5 -5z0     665 1013     0
  115.9011 -1.245 21.01    4802.870  2.0 3d2 3F       91083.400  3.0 3d6f 1F     8.38 -3.60 -7.28K88  0 0 45-0.602 45 0.000   68    0F5 -6z0     665 1013     0
  115.9494 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-2.049 45 0.000  -51    0F0 -0z0    1083 1206     0
  115.9494 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.572 45 0.000  -51    0F0 -1z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.572 45 0.000  -46    0F1 -0z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.350 45 0.000  -46    0F1 -2z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.350 45 0.000  -36    0F2 -1z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-2.195 45 0.000  -36    0F2 -2z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.251 45 0.000  -36    0F2 -3z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.251 45 0.000  -23    0F3 -2z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.565 45 0.000  -23    0F3 -3z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.225 45 0.000  -23    0F3 -4z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.225 45 0.000   -6    0F4 -3z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.179 45 0.000   -6    0F4 -4z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.278 45 0.000   -6    0F4 -5z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.278 45 0.000   15    0F5 -4z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-0.893 45 0.000   15    0F5 -5z0    1083 1206     0
  115.9495 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.473 45 0.000   15    0F5 -6z0    1083 1206     0
  115.9496 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-1.473 45 0.000   40    0F6 -5z0    1083 1206     0
  115.9496 -4.458 21.01    4883.570  3.0 3d2 3F       91128.000  3.0 3d6f 3D     8.40 -3.37 -7.28K88  0 0 45-0.665 45 0.000   40    0F6 -6z0    1083 1206     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.556 45 0.000  -23    0F0 -1z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.808 45 0.000  -21    0F1 -1z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.398 45 0.000  -21    0F1 -2z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-2.673 45 0.000  -17    0F2 -1z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.603 45 0.000  -17    0F2 -2z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.250 45 0.000  -17    0F2 -3z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-2.489 45 0.000  -13    0F3 -2z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.505 45 0.000  -13    0F3 -3z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.116 45 0.000  -13    0F3 -4z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-2.473 45 0.000   -7    0F4 -3z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.465 45 0.000   -7    0F4 -4z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-0.995 45 0.000   -7    0F4 -5z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-2.560 45 0.000    0    0F5 -4z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.477 45 0.000    0    0F5 -5z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-0.884 45 0.000    0    0F5 -6z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-2.757 45 0.000    8    0F6 -5z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-1.555 45 0.000    8    0F6 -6z0    1251 1011     0
  115.9969 -1.689 21.01    4987.790  4.0 3d2 3F       91197.000  5.0 3d6f 1H     8.49 -3.49 -7.28K88  0 0 45-0.783 45 0.000    8    0F6 -7z0    1251 1011     0
