
  455.3995  0.170 56.01       0.000  0.5 6s  2S       21952.422  1.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.806137-0.950 -167   -3F1 -2 0       0    0
  455.3997  0.170 56.01       0.000  0.5 6s  2S       21952.422  1.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.806137-0.950 -167  -10F1 -1 0       0    0
  455.3998  0.170 56.01       0.000  0.5 6s  2S       21952.422  1.5 6p  2P      0.00  0.00  0.00NBS  0 0137-1.204137-0.950 -167  -14F1 -0 0       0    0
  455.4049  0.170 56.01       0.000  0.5 6s  2S       21952.422  1.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.359137-0.950  100    9F2 -3 0       0    0
  455.4051  0.170 56.01       0.000  0.5 6s  2S       21952.422  1.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.806137-0.950  100   -3F2 -2 0       0    0
  455.4052  0.170 56.01       0.000  0.5 6s  2S       21952.422  1.5 6p  2P      0.00  0.00  0.00NBS  0 0137-1.505137-0.950  100  -10F2 -1 0       0    0
  493.4032 -0.150 56.01       0.000  0.5 6s  2S       20261.562  0.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.505137-0.950 -167   17F1 -2 0       0    0
  493.4042 -0.150 56.01       0.000  0.5 6s  2S       20261.562  0.5 6p  2P      0.00  0.00  0.00NBS  0 0137-1.204137-0.950 -167  -28F1 -1 0       0    0
  493.4097 -0.150 56.01       0.000  0.5 6s  2S       20261.562  0.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.505137-0.950  100   17F2 -2 0       0    0
  493.4108 -0.150 56.01       0.000  0.5 6s  2S       20261.562  0.5 6p  2P      0.00  0.00  0.00NBS  0 0137-0.505137-0.950  100  -28F2 -1 0       0    0
