  431.4086 -0.100 21.01    4987.790  4.0 3d2 3F       28161.170  3.0 3d4p 3D     8.37 -6.72 -7.89MFW  0 0 45-1.376 45 0.000  -17  -31F2 -2 0    1251 1323     0
  431.4086 -0.100 21.01    4987.790  4.0 3d2 3F       28161.170  3.0 3d4p 3D     8.37 -6.72 -7.89MFW  0 0 45-1.251 45 0.000  -13  -31F3 -2 0    1251 1323     0
  431.4087 -0.100 21.01    4987.790  4.0 3d2 3F       28161.170  3.0 3d4p 3D     8.37 -6.72 -7.89MFW  0 0 45-1.681 45 0.000  -23  -44F0 -0 0    1251 1323     0
  431.4087 -0.100 21.01    4987.790  4.0 3d2 3F       28161.170  3.0 3d4p 3D     8.37 -6.72 -7.89MFW  0 0 45-1.827 45 0.000  -21  -44F1 -0 0    1251 1323     0
  431.4087 -0.100 21.01    4987.790  4.0 3d2 3F       28161.170  3.0 3d4p 3D     8.37 -6.72 -7.89MFW  0 0 45-1.485 45 0.000  -17  -40F2 -1 0    1251 1323     0

  432.0725 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-2.342 45 0.000   -6   29F4 -5 0    1083 1162     0
  432.0727 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.924 45 0.000  -23    6F3 -4 0    1083 1162     0
  432.0728 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.544 45 0.000  -46  -27F1 -2 0    1083 1162     0
  432.0728 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.690 45 0.000  -36  -13F2 -3 0    1083 1162     0
  432.0729 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.447 45 0.000  -51  -37F0 -1 0    1083 1162     0
  432.0729 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.342 45 0.000   15   29F5 -5 0    1083 1162     0
  432.0730 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.368 45 0.000  -46  -37F1 -1 0    1083 1162     0
  432.0730 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.185 45 0.000  -36  -27F2 -2 0    1083 1162     0
  432.0730 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.126 45 0.000  -23  -13F3 -3 0    1083 1162     0
