
  384.2042 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.776 59 0.000 -194 -142F1 -2 0    1147 1197     0
  384.2042 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.274 59 0.000   -8   42F5 -5 0    1147 1197     0
  384.2043 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.220 59 0.000  -74  -35F4 -4 0    1147 1197     0
  384.2044 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.806 59 0.000 -208 -173F0 -1 0    1147 1197     0
  384.2045 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.242 59 0.000 -127  -96F3 -3 0    1147 1197     0
  384.2046 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.521 59 0.000 -194 -173F1 -1 0    1147 1197     0
  384.2046 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.333 59 0.000 -167 -142F2 -2 0    1147 1197     0
  384.2046 -7.051 27.00   27496.998  2.5 3d9 c2D      53517.201  3.5 4s5F5p 6F   7.09 -5.14 -7.65K98  0 0 59-0.630 59 0.000   97  309F6 -7 0    1200 1363     0
  384.2050 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.776 59 0.000 -167 -173F2 -1 0    1147 1197     0
  384.2052 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.388 59 0.000 -127 -142F3 -2 0    1147 1197     0
  384.2053 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-1.133 59 0.000  -74  -96F4 -3 0    1147 1197     0
  384.2053 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-0.935 59 0.000   -8  -35F5 -4 0    1147 1197     0
  384.2053 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-0.771 59 0.000   69   42F6 -5 0    1147 1197     0
  384.2053 -0.770 27.00    7442.399  3.5 (3F)4s a2F   33462.795  2.5 4Fsp3P z2D  6.91 -6.20 -7.83FMW  0 0 59-0.630 59 0.000  158  135F7 -6 0    1147 1197     0

  388.1849 -1.130 27.00    4690.141  2.5 (3F)4s b4F   30443.596  1.5 4Fsp3P z4D  7.36 -6.26 -7.84FMW  0 0 59-2.058 59 0.000  -42  124F4 -5 0    1027 1193     0
  388.1856 -1.130 27.00    4690.141  2.5 (3F)4s b4F   30443.596  1.5 4Fsp3P z4D  7.36 -6.26 -7.84FMW  0 0 59-1.630 59 0.000 -117    5F3 -4 0    1027 1193     0
  388.1861 -1.130 27.00    4690.141  2.5 (3F)4s b4F   30443.596  1.5 4Fsp3P z4D  7.36 -6.26 -7.84FMW  0 0 59-1.380 59 0.000 -174  -88F2 -3 0    1027 1193     0
  388.1863 -1.130 27.00    4690.141  2.5 (3F)4s b4F   30443.596  1.5 4Fsp3P z4D  7.36 -6.26 -7.84FMW  0 0 59-1.193 59 0.000   52  124F5 -5 0    1027 1193     0
