
  263.5514 -2.080 63.01       0.000  4.0 6s  a9S      37932.190  5.0 120         0.00  0.00  0.00CB   0 0153-0.615153-0.282  227    0F6 -7z0       0    0     0
  263.8753 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-2.920153-0.282 -186    0F5 -4z0       0    0     0
  263.8753 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.598153-0.282 -186    0F5 -5z0       0    0     0
  263.8753 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-0.586153-0.282 -186    0F5 -6z0       0    0     0
  263.8762 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-2.577153-0.282  -50    0F4 -3z0       0    0     0
  263.8762 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.415153-0.282  -50    0F4 -4z0       0    0     0
  263.8762 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-0.706153-0.282  -50    0F4 -5z0       0    0     0
  263.8770 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-2.468153-0.282   62    0F3 -2z0       0    0     0
  263.8770 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.381153-0.282   62    0F3 -3z0       0    0     0
  263.8770 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-0.837153-0.282   62    0F3 -4z0       0    0     0
  263.8776 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-2.577153-0.282  149    0F2 -1z0       0    0     0
  263.8776 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.440153-0.282  149    0F2 -2z0       0    0     0
  263.8776 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-0.983153-0.282  149    0F2 -3z0       0    0     0
  263.8780 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.623153-0.282  211    0F1 -1z0       0    0     0
  263.8780 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.146153-0.282  211    0F1 -2z0       0    0     0
  263.8783 -0.380 63.01    1669.210  3.0 6s  a7S      39554.430  4.0 x7P?        0.00  0.00  0.00CB   0 0153-1.322153-0.282  248    0F0 -1z0       0    0     0
  264.1247 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.130153-0.282 -284    0F1 -2z0       0    0     0
  264.1251 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.799153-0.282 -227    0F2 -2z0       0    0     0
  264.1251 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.021153-0.282 -227    0F2 -3z0       0    0     0
  264.1257 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-3.017153-0.282 -148    0F3 -2z0       0    0     0
  264.1257 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.609153-0.282 -148    0F3 -3z0       0    0     0
  264.1257 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-0.912153-0.282 -148    0F3 -4z0       0    0     0
  264.1264 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-2.871153-0.282  -45    0F4 -3z0       0    0     0
  264.1264 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.555153-0.282  -45    0F4 -4z0       0    0     0
  264.1264 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-0.807153-0.282  -45    0F4 -5z0       0    0     0
  264.1273 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-2.958153-0.282   80    0F5 -4z0       0    0     0
  264.1273 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.597153-0.282   80    0F5 -5z0       0    0     0
  264.1273 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-0.708153-0.282   80    0F5 -6z0       0    0     0
  264.1283 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-3.286153-0.282  227    0F6 -5z0       0    0     0
  264.1283 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-1.787153-0.282  227    0F6 -6z0       0    0     0
  264.1283 -1.000 63.01       0.000  4.0 6s  a9S      37849.340  5.0 5d2 x9P     0.00  0.00  0.00CB   0 0153-0.615153-0.282  227    0F6 -7z0       0    0     0
  266.8315 -0.610 63.01    1669.210  3.0 6s  a7S      39134.720  4.0 ?5d2 y7P    0.00  0.00  0.00CB   0 0153-2.920153-0.282 -186    0F5 -4z0       0    0     0
  266.8315 -0.610 63.01    1669.210  3.0 6s  a7S      39134.720  4.0 ?5d2 y7P    0.00  0.00  0.00CB   0 0153-1.598153-0.282 -186    0F5 -5z0       0    0     0
  266.8315 -0.610 63.01    1669.210  3.0 6s  a7S      39134.720  4.0 ?5d2 y7P    0.00  0.00  0.00CB   0 0153-0.586153-0.282 -186    0F5 -6z0       0    0     0
  266.8325 -0.610 63.01    1669.210  3.0 6s  a7S      39134.720  4.0 ?5d2 y7P    0.00  0.00  0.00CB   0 0153-2.577153-0.282  -50    0F4 -3z0       0    0     0
  266.8325 -0.610 63.01    1669.210  3.0 6s  a7S      39134.720  4.0 ?5d2 y7P    0.00  0.00  0.00CB   0 0153-1.415153-0.282  -50    0F4 -4z0       0    0     0
