id,ww,ep,ew,rew,ab,nlte_delta
26.01,3742.617,2.938,73.1,-4.709,5.912,0.238
26.01,3808.729,2.557,72.1,-4.723,5.862,0.258
26.01,3949.953,2.174,82.7,-4.679,5.741,0.268
26.01,3977.741,2.196,88.1,-4.655,5.725,0.266
26.01,4058.217,3.209,44.4,-4.961,6.037,0.216
26.01,4062.441,2.845,76.0,-4.728,5.879,0.274
26.01,4067.978,3.209,70.1,-4.764,5.797,0.187
26.01,4070.771,3.239,51.9,-4.895,5.874,0.214
26.01,4107.488,2.832,95.8,-4.632,6.259,0.236
26.01,4114.445,2.832,48.2,-4.931,5.844,0.256
26.01,4132.899,2.845,63.9,-4.811,5.803,0.234
26.01,4134.677,2.832,87.7,-4.673,5.847,0.267
26.01,4136.998,3.415,59.5,-4.842,5.742,0.286
26.01,4147.668,1.485,84.0,-4.694,5.878,0.071
26.01,4150.249,3.428,22.0,-5.276,5.824,0.272
26.01,4153.899,3.397,71.7,-4.763,5.79,0.288
26.01,4154.499,2.832,75.3,-4.742,5.662,0.289
26.01,4154.805,3.368,69.7,-4.775,5.809,0.289
26.01,4157.78,3.417,65.3,-4.804,5.79,0.166
26.01,4158.792,3.428,46.7,-4.95,5.799,0.280
26.01,4175.636,2.845,85.0,-4.691,5.983,0.271
26.01,4176.566,3.368,61.4,-4.833,6.074,0.261
26.01,4181.754,2.832,99.4,-4.624,5.81,0.196
26.01,4182.382,3.017,42.7,-4.991,5.808,0.204
26.01,4184.892,2.832,77.2,-4.734,5.88,0.265
26.01,4187.039,2.45,110.3,-4.579,5.793,0.182
26.01,4187.795,2.425,118.3,-4.549,5.934,0.182
26.01,4191.43,2.469,107.1,-4.593,5.863,0.212
26.01,4195.329,3.332,71.6,-4.768,5.893,0.283
26.01,4213.647,2.845,41.1,-5.011,5.72,0.260
26.01,4217.545,3.43,62.8,-4.827,5.837,0.294
26.01,4222.213,2.45,88.3,-4.68,5.772,0.209
26.01,4233.603,2.482,103.9,-4.61,5.737,
26.01,4238.81,3.397,72.9,-4.765,5.711,
26.01,4250.119,2.469,118.8,-4.554,5.826,
26.01,4271.153,2.45,114.6,-4.571,5.655,
26.01,4282.403,2.176,114.7,-4.572,5.879,
26.01,4337.045,1.557,91.7,-4.675,5.653,
